# Hecke eigenvalue coordinates a_n for the f3 sextic newform orbit of
# level 143, weight 2, in the power basis of  y^6 - 10*y^4 - 2*y^3 + 24*y^2 + 7*y - 12.
# nfdisc = 194616205; Z[a_2] = O_K (poldisc(minpoly a_2) = nfdisc).
# Rows: n, c_0, ..., c_5  with  a_n = sum c_k alpha^k.
# Generated 2026-08-24, PARI/GP 2.15.4 mfeigenbasis, exact.
#
0,0,0,0,0,0,0
1,1,0,0,0,0,0
2,0,-1,0,0,0,0
3,-5,11,6,-8,-1,1
4,-2,0,1,0,0,0
5,15,-12,-14,8,2,-1
6,-12,12,13,-8,-2,1
7,14,-26,-13,17,2,-2
8,0,4,0,-1,0,0
9,-26,38,27,-25,-4,3
10,12,-22,-12,16,2,-2
11,-1,0,0,0,0,0
12,-2,-3,0,1,0,0
13,1,0,0,0,0,0
14,24,-28,-22,17,3,-2
15,33,-30,-28,24,4,-3
16,4,0,-6,0,1,0
17,0,2,0,0,0,0
18,-36,47,34,-33,-5,4
19,-22,23,20,-16,-3,2
20,-6,-2,2,0,0,0
21,14,-29,-19,17,3,-2
22,0,1,0,0,0,0
23,-33,38,29,-25,-4,3
24,24,-22,-23,16,3,-2
25,-20,44,26,-26,-4,3
26,0,-1,0,0,0,0
27,-47,59,47,-41,-7,5
28,-4,14,6,-8,-1,1
29,18,-22,-14,16,2,-2
30,36,-54,-42,34,6,-4
31,29,-44,-28,26,4,-3
32,0,-12,0,8,0,-1
33,5,-11,-6,8,1,-1
34,0,0,-2,0,0,0
35,-6,-12,0,2,0,0
36,4,-12,-5,8,1,-1
37,-19,10,16,-8,-2,1
38,-24,36,25,-24,-4,3
39,-5,11,6,-8,-1,1
40,-24,50,26,-34,-4,4
41,6,-26,-11,17,2,-2
42,24,-28,-19,23,3,-3
43,-16,32,14,-18,-2,2
44,2,0,-1,0,0,0
45,66,-68,-68,48,10,-6
46,-36,54,34,-35,-5,4
47,12,-24,-12,16,2,-2
48,28,-32,-26,25,4,-3
49,57,-75,-48,50,7,-6
50,-36,41,28,-32,-4,4
51,24,-24,-26,16,4,-2
52,-2,0,1,0,0,0
53,54,-75,-48,50,7,-6
54,-60,82,61,-57,-9,7
55,-15,12,14,-8,-2,1
56,-60,67,54,-42,-8,5
57,-46,46,43,-33,-6,4
58,24,-32,-26,18,4,-2
59,-33,66,38,-42,-6,5
60,-18,-4,14,2,-2,0
61,50,-44,-42,32,6,-4
62,36,-50,-28,34,4,-4
63,-16,9,9,-1,-1,0
64,4,-7,0,2,0,0
65,15,-12,-14,8,2,-1
66,12,-12,-13,8,2,-1
67,23,-12,-16,8,2,-1
68,0,-4,0,2,0,0
69,-51,53,47,-39,-7,5
70,0,6,12,0,-2,0
71,-33,40,28,-26,-4,3
72,84,-105,-80,73,12,-9
73,-4,-1,8,0,-1,0
74,-12,26,14,-18,-2,2
75,-32,93,40,-66,-7,8
76,8,-1,-4,1,0,0
77,-14,26,13,-17,-2,2
78,-12,12,13,-8,-2,1
79,20,-22,-14,16,2,-2
80,-36,56,42,-34,-6,4
81,-59,59,59,-47,-9,6
82,24,-20,-22,15,3,-2
83,12,6,-15,-1,2,0
84,8,13,-6,-9,1,1
85,-24,44,24,-32,-4,4
86,-24,30,16,-18,-2,2
87,30,-26,-30,16,4,-2
88,0,-4,0,1,0,0
89,9,-20,-14,10,2,-1
90,72,-108,-76,80,12,-10
91,14,-26,-13,17,2,-2
92,18,-12,-16,8,3,-1
93,11,-32,-10,24,2,-3
94,24,-26,-24,16,4,-2
95,18,-50,-26,34,4,-4
96,-12,-5,6,0,-1,0
97,-37,66,40,-42,-6,5
98,72,-99,-69,60,10,-7
99,26,-38,-27,25,4,-3
100,-8,-24,3,16,0,-2
101,-6,34,12,-18,-2,2
102,24,-38,-24,30,4,-4
103,56,-86,-55,51,8,-6
104,0,4,0,-1,0,0
105,-66,26,62,-16,-8,2
106,72,-96,-69,60,10,-7
107,12,-18,-14,16,2,-2
108,10,-9,-8,7,1,-1
109,-52,45,48,-32,-7,4
110,-12,22,12,-16,-2,2
111,-61,48,54,-38,-8,5
112,-52,67,41,-48,-6,6
113,-27,37,34,-24,-5,3
114,-48,74,50,-51,-7,6
115,9,-36,-22,24,4,-3
116,-12,6,12,-2,-2,0
117,-26,38,27,-25,-4,3
118,-60,68,54,-48,-8,6
119,-48,56,44,-34,-6,4
120,-72,126,88,-82,-14,10
121,1,0,0,0,0,0
122,48,-78,-52,50,8,-6
123,30,-79,-43,51,7,-6
124,-10,24,10,-16,-2,2
125,9,40,-6,-26,0,3
126,0,16,-9,-9,1,1
127,-16,18,14,-16,-2,2
128,0,20,7,-16,-2,2
129,32,-20,-30,16,4,-2
130,12,-22,-12,16,2,-2
131,18,-22,-26,16,4,-2
132,2,3,0,-1,0,0
133,-8,35,7,-19,-1,2
134,12,-30,-12,18,2,-2
135,123,-174,-132,122,20,-15
136,0,0,8,0,-2,0
137,63,-66,-56,42,8,-5
138,-60,86,67,-57,-11,7
139,-94,132,94,-84,-14,10
140,12,24,-6,-16,0,2
